domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_one,MostPop,NDCG,low,N/A,0.6382550996979433,
music,eva_two,pop_one,UserKNN,NDCG,low,N/A,0.6341731583169765,
music,eva_two,pop_one,ItemKNN,NDCG,low,N/A,0.6348809725012229,
music,eva_two,pop_one,PMF,NDCG,low,N/A,0.6404394969859474,
music,eva_two,pop_one,NMF,NDCG,low,N/A,0.6456207889932599,
music,eva_two,pop_one,HPF,NDCG,low,N/A,0.6282235596391195,
music,eva_two,pop_one,MostPop,NDCG,med,N/A,0.6117803698539284,
music,eva_two,pop_one,UserKNN,NDCG,med,N/A,0.6112767720992899,
music,eva_two,pop_one,ItemKNN,NDCG,med,N/A,0.6066453117561564,
music,eva_two,pop_one,PMF,NDCG,med,N/A,0.6350221135261807,
music,eva_two,pop_one,NMF,NDCG,med,N/A,0.6175090191152197,
music,eva_two,pop_one,HPF,NDCG,med,N/A,0.6057906191337349,
music,eva_two,pop_one,MostPop,NDCG,high,N/A,0.6041366474084819,
music,eva_two,pop_one,UserKNN,NDCG,high,N/A,0.6111985794884288,
music,eva_two,pop_one,ItemKNN,NDCG,high,N/A,0.6090344118447394,
music,eva_two,pop_one,PMF,NDCG,high,N/A,0.6418899449840326,
music,eva_two,pop_one,NMF,NDCG,high,N/A,0.608575941283821,
music,eva_two,pop_one,HPF,NDCG,high,N/A,0.624803403541611,
music,eva_two,pop_one,MostPop,GAP,low,N/A,-31.92265533670538,
music,eva_two,pop_one,UserKNN,GAP,low,N/A,-53.39969016075023,
music,eva_two,pop_one,ItemKNN,GAP,low,N/A,-63.86638858186613,
music,eva_two,pop_one,PMF,GAP,low,N/A,178.88582623454283,
music,eva_two,pop_one,NMF,GAP,low,N/A,-32.0660406611527,
music,eva_two,pop_one,HPF,GAP,low,N/A,-23.568120629653823,
music,eva_two,pop_one,MostPop,GAP,med,N/A,-38.74595252736846,
music,eva_two,pop_one,UserKNN,GAP,med,N/A,-52.59773023990334,
music,eva_two,pop_one,ItemKNN,GAP,med,N/A,-68.81268320429712,
music,eva_two,pop_one,PMF,GAP,med,N/A,165.5592802528421,
music,eva_two,pop_one,NMF,GAP,med,N/A,-38.16974162733571,
music,eva_two,pop_one,HPF,GAP,med,N/A,-23.367691459516298,
music,eva_two,pop_one,MostPop,GAP,high,N/A,-28.26681078159653,
music,eva_two,pop_one,UserKNN,GAP,high,N/A,-38.99712600236924,
music,eva_two,pop_one,ItemKNN,GAP,high,N/A,-51.43342588795239,
music,eva_two,pop_one,PMF,GAP,high,N/A,99.80139931148574,
music,eva_two,pop_one,NMF,GAP,high,N/A,-25.45214701707137,
music,eva_two,pop_one,HPF,GAP,high,N/A,-13.616775231486638,
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,low-med,,0.0005561611262634
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,low-med,,0.0018352540405701
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,low-med,,0.0002258839513702
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,low-med,,0.4806585222581135
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,low-med,,0.0001670937253479
music,eva_two,pop_one,HPF,NDCG_TTEST,N/A,low-med,,0.0028591648624045
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,low-high,,0.0002180681421577
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,low-high,,0.0120612417303985
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0055061547598205
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,low-high,,0.8757580071601123
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,low-high,,5.2233904228829534e-05
music,eva_two,pop_one,HPF,NDCG_TTEST,N/A,low-high,,0.7131297943141346
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,med-high,,0.3017103895166978
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,med-high,,0.9918305296882084
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,med-high,,0.7513938537515377
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,med-high,,0.3560662996166176
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,med-high,,0.231687738728488
music,eva_two,pop_one,HPF,NDCG_TTEST,N/A,med-high,,0.0130154052456382
music,eva_two,pop_one,MostPop,GAP_TTEST,N/A,low-med,,0.0001189099031557
music,eva_two,pop_one,UserKNN,GAP_TTEST,N/A,low-med,,0.5981193355866877
music,eva_two,pop_one,ItemKNN,GAP_TTEST,N/A,low-med,,0.0002819565299827
music,eva_two,pop_one,PMF,GAP_TTEST,N/A,low-med,,0.0241672816868306
music,eva_two,pop_one,NMF,GAP_TTEST,N/A,low-med,,0.0007834441194157
music,eva_two,pop_one,HPF,GAP_TTEST,N/A,low-med,,0.9158388350021944
music,eva_two,pop_one,MostPop,GAP_TTEST,N/A,low-high,,0.0973239079320223
music,eva_two,pop_one,UserKNN,GAP_TTEST,N/A,low-high,,1.2158056571860744e-12
music,eva_two,pop_one,ItemKNN,GAP_TTEST,N/A,low-high,,1.672854188680095e-10
music,eva_two,pop_one,PMF,GAP_TTEST,N/A,low-high,,2.2634526288538056e-36
music,eva_two,pop_one,NMF,GAP_TTEST,N/A,low-high,,0.0028763869750698
music,eva_two,pop_one,HPF,GAP_TTEST,N/A,low-high,,9.215541640848274e-06
music,eva_two,pop_one,MostPop,GAP_TTEST,N/A,med-high,,9.520830678947994e-10
music,eva_two,pop_one,UserKNN,GAP_TTEST,N/A,med-high,,2.815861594781145e-16
music,eva_two,pop_one,ItemKNN,GAP_TTEST,N/A,med-high,,6.597472347505508e-26
music,eva_two,pop_one,PMF,GAP_TTEST,N/A,med-high,,3.591973499464466e-118
music,eva_two,pop_one,NMF,GAP_TTEST,N/A,med-high,,2.9462835529909704e-14
music,eva_two,pop_one,HPF,GAP_TTEST,N/A,med-high,,5.308389649169176e-09
music,eva_two,pop_two,MostPop,NDCG,low,N/A,0.6357250819521304,
music,eva_two,pop_two,UserKNN,NDCG,low,N/A,0.6308247377631745,
music,eva_two,pop_two,ItemKNN,NDCG,low,N/A,0.627840017293432,
music,eva_two,pop_two,PMF,NDCG,low,N/A,0.6363653140082867,
music,eva_two,pop_two,NMF,NDCG,low,N/A,0.6462642062351851,
music,eva_two,pop_two,HPF,NDCG,low,N/A,0.6268288651472368,
music,eva_two,pop_two,MostPop,NDCG,med,N/A,0.6148927502768372,
music,eva_two,pop_two,UserKNN,NDCG,med,N/A,0.6142275504132286,
music,eva_two,pop_two,ItemKNN,NDCG,med,N/A,0.6107208529027842,
music,eva_two,pop_two,PMF,NDCG,med,N/A,0.6343889275805235,
music,eva_two,pop_two,NMF,NDCG,med,N/A,0.6184223792247449,
music,eva_two,pop_two,HPF,NDCG,med,N/A,0.6091050201125141,
music,eva_two,pop_two,MostPop,NDCG,high,N/A,0.597272894761749,
music,eva_two,pop_two,UserKNN,NDCG,high,N/A,0.6056478379125112,
music,eva_two,pop_two,ItemKNN,NDCG,high,N/A,0.6037978139890411,
music,eva_two,pop_two,PMF,NDCG,high,N/A,0.6478724880165214,
music,eva_two,pop_two,NMF,NDCG,high,N/A,0.6051371727353941,
music,eva_two,pop_two,HPF,NDCG,high,N/A,0.61619987644258,
music,eva_two,pop_two,MostPop,GAP,low,N/A,-32.27080402334925,
music,eva_two,pop_two,UserKNN,GAP,low,N/A,-53.18163826306218,
music,eva_two,pop_two,ItemKNN,GAP,low,N/A,-65.05516438797464,
music,eva_two,pop_two,PMF,GAP,low,N/A,191.0587793674639,
music,eva_two,pop_two,NMF,GAP,low,N/A,-33.32967361784408,
music,eva_two,pop_two,HPF,GAP,low,N/A,-23.61459527703297,
music,eva_two,pop_two,MostPop,GAP,med,N/A,-39.85412693449891,
music,eva_two,pop_two,UserKNN,GAP,med,N/A,-53.3250131445479,
music,eva_two,pop_two,ItemKNN,GAP,med,N/A,-69.16228542264764,
music,eva_two,pop_two,PMF,GAP,med,N/A,169.19369851998562,
music,eva_two,pop_two,NMF,GAP,med,N/A,-38.39031484310518,
music,eva_two,pop_two,HPF,GAP,med,N/A,-23.83359909522707,
music,eva_two,pop_two,MostPop,GAP,high,N/A,-26.1966277282472,
music,eva_two,pop_two,UserKNN,GAP,high,N/A,-38.137851653092405,
music,eva_two,pop_two,ItemKNN,GAP,high,N/A,-50.82578313665049,
music,eva_two,pop_two,PMF,GAP,high,N/A,90.30905864374492,
music,eva_two,pop_two,NMF,GAP,high,N/A,-24.88572541627923,
music,eva_two,pop_two,HPF,GAP,high,N/A,-13.025883381449372,
music,eva_two,pop_two,MostPop,NDCG_TTEST,N/A,low-med,,0.0058681361235181
music,eva_two,pop_two,UserKNN,NDCG_TTEST,N/A,low-med,,0.0238311312184798
music,eva_two,pop_two,ItemKNN,NDCG_TTEST,N/A,low-med,,0.0243177959260571
music,eva_two,pop_two,PMF,NDCG_TTEST,N/A,low-med,,0.7940469496962378
music,eva_two,pop_two,NMF,NDCG_TTEST,N/A,low-med,,0.0001811252552617
music,eva_two,pop_two,HPF,NDCG_TTEST,N/A,low-med,,0.0202108322582415
music,eva_two,pop_two,MostPop,NDCG_TTEST,N/A,low-high,,2.297478292390024e-05
music,eva_two,pop_two,UserKNN,NDCG_TTEST,N/A,low-high,,0.0055372787131913
music,eva_two,pop_two,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0105450520097311
music,eva_two,pop_two,PMF,NDCG_TTEST,N/A,low-high,,0.2171301841807077
music,eva_two,pop_two,NMF,NDCG_TTEST,N/A,low-high,,6.606189697939525e-06
music,eva_two,pop_two,HPF,NDCG_TTEST,N/A,low-high,,0.2578567912138138
music,eva_two,pop_two,MostPop,NDCG_TTEST,N/A,med-high,,0.0166837497144104
music,eva_two,pop_two,UserKNN,NDCG_TTEST,N/A,med-high,,0.2567079333043695
music,eva_two,pop_two,ItemKNN,NDCG_TTEST,N/A,med-high,,0.3670969882479737
music,eva_two,pop_two,PMF,NDCG_TTEST,N/A,med-high,,0.0759503979656879
music,eva_two,pop_two,NMF,NDCG_TTEST,N/A,med-high,,0.0751219219686473
music,eva_two,pop_two,HPF,NDCG_TTEST,N/A,med-high,,0.3519724649726223
music,eva_two,pop_two,MostPop,GAP_TTEST,N/A,low-med,,1.3922418840971906e-06
music,eva_two,pop_two,UserKNN,GAP_TTEST,N/A,low-med,,0.908912254692699
music,eva_two,pop_two,ItemKNN,GAP_TTEST,N/A,low-med,,4.565025306874103e-05
music,eva_two,pop_two,PMF,GAP_TTEST,N/A,low-med,,0.0003940042689521
music,eva_two,pop_two,NMF,GAP_TTEST,N/A,low-med,,0.0010415419613133
music,eva_two,pop_two,HPF,GAP_TTEST,N/A,low-med,,0.8982323506969482
music,eva_two,pop_two,MostPop,GAP_TTEST,N/A,low-high,,0.002434337437886
music,eva_two,pop_two,UserKNN,GAP_TTEST,N/A,low-high,,3.322338384711021e-16
music,eva_two,pop_two,ItemKNN,GAP_TTEST,N/A,low-high,,3.905086656497407e-16
music,eva_two,pop_two,PMF,GAP_TTEST,N/A,low-high,,5.1482281572010734e-51
music,eva_two,pop_two,NMF,GAP_TTEST,N/A,low-high,,2.213735712683928e-05
music,eva_two,pop_two,HPF,GAP_TTEST,N/A,low-high,,3.793889974319782e-07
music,eva_two,pop_two,MostPop,GAP_TTEST,N/A,med-high,,5.634530551656891e-17
music,eva_two,pop_two,UserKNN,GAP_TTEST,N/A,med-high,,1.7514029904665982e-20
music,eva_two,pop_two,ItemKNN,GAP_TTEST,N/A,med-high,,6.953023360704687e-29
music,eva_two,pop_two,PMF,GAP_TTEST,N/A,med-high,,5.187825906598507e-156
music,eva_two,pop_two,NMF,GAP_TTEST,N/A,med-high,,8.323874213350086e-17
music,eva_two,pop_two,HPF,GAP_TTEST,N/A,med-high,,2.0426676652241317e-11
music,eva_two,pop_four,MostPop,NDCG,low,N/A,0.607487900521114,
music,eva_two,pop_four,UserKNN,NDCG,low,N/A,0.6147372894242478,
music,eva_two,pop_four,ItemKNN,NDCG,low,N/A,0.6049843251880884,
music,eva_two,pop_four,PMF,NDCG,low,N/A,0.6398331019440593,
music,eva_two,pop_four,NMF,NDCG,low,N/A,0.6054522365092908,
music,eva_two,pop_four,HPF,NDCG,low,N/A,0.6229063871676054,
music,eva_two,pop_four,MostPop,NDCG,med,N/A,0.6081400160365038,
music,eva_two,pop_four,UserKNN,NDCG,med,N/A,0.6090828473776194,
music,eva_two,pop_four,ItemKNN,NDCG,med,N/A,0.6083107599690479,
music,eva_two,pop_four,PMF,NDCG,med,N/A,0.6337713945101136,
music,eva_two,pop_four,NMF,NDCG,med,N/A,0.6189555448123659,
music,eva_two,pop_four,HPF,NDCG,med,N/A,0.6057251258910672,
music,eva_two,pop_four,MostPop,NDCG,high,N/A,0.6459067959443809,
music,eva_two,pop_four,UserKNN,NDCG,high,N/A,0.6372670678513547,
music,eva_two,pop_four,ItemKNN,NDCG,high,N/A,0.6339707837604179,
music,eva_two,pop_four,PMF,NDCG,high,N/A,0.6462599686295103,
music,eva_two,pop_four,NMF,NDCG,high,N/A,0.6444599934723355,
music,eva_two,pop_four,HPF,NDCG,high,N/A,0.6303264949362535,
music,eva_two,pop_four,MostPop,GAP,low,N/A,-29.544243047885548,
music,eva_two,pop_four,UserKNN,GAP,low,N/A,-40.25100948812,
music,eva_two,pop_four,ItemKNN,GAP,low,N/A,-52.94146264388092,
music,eva_two,pop_four,PMF,GAP,low,N/A,107.1447463469761,
music,eva_two,pop_four,NMF,GAP,low,N/A,-27.09490894201383,
music,eva_two,pop_four,HPF,GAP,low,N/A,-14.836897568060625,
music,eva_two,pop_four,MostPop,GAP,med,N/A,-38.1256165170114,
music,eva_two,pop_four,UserKNN,GAP,med,N/A,-51.941526191068434,
music,eva_two,pop_four,ItemKNN,GAP,med,N/A,-67.74284885606683,
music,eva_two,pop_four,PMF,GAP,med,N/A,162.58990485581816,
music,eva_two,pop_four,NMF,GAP,med,N/A,-37.708769646295416,
music,eva_two,pop_four,HPF,GAP,med,N/A,-22.981819259388526,
music,eva_two,pop_four,MostPop,GAP,high,N/A,-31.60056615122091,
music,eva_two,pop_four,UserKNN,GAP,high,N/A,-52.393862985474016,
music,eva_two,pop_four,ItemKNN,GAP,high,N/A,-64.29082470362569,
music,eva_two,pop_four,PMF,GAP,high,N/A,169.72121386870282,
music,eva_two,pop_four,NMF,GAP,high,N/A,-29.98463028052279,
music,eva_two,pop_four,HPF,GAP,high,N/A,-21.82621438967657,
music,eva_two,pop_four,MostPop,NDCG_TTEST,N/A,low-med,,0.929479904425019
music,eva_two,pop_four,UserKNN,NDCG_TTEST,N/A,low-med,,0.457927068644401
music,eva_two,pop_four,ItemKNN,NDCG_TTEST,N/A,low-med,,0.6506098493339263
music,eva_two,pop_four,PMF,NDCG_TTEST,N/A,low-med,,0.4076518299144538
music,eva_two,pop_four,NMF,NDCG_TTEST,N/A,low-med,,0.0713710276772673
music,eva_two,pop_four,HPF,NDCG_TTEST,N/A,low-med,,0.0224726567244641
music,eva_two,pop_four,MostPop,NDCG_TTEST,N/A,low-high,,3.728959453207877e-05
music,eva_two,pop_four,UserKNN,NDCG_TTEST,N/A,low-high,,0.0144105925486903
music,eva_two,pop_four,ItemKNN,NDCG_TTEST,N/A,low-high,,0.001777834692164
music,eva_two,pop_four,PMF,NDCG_TTEST,N/A,low-high,,0.48808151644871
music,eva_two,pop_four,NMF,NDCG_TTEST,N/A,low-high,,2.1540221643168327e-05
music,eva_two,pop_four,HPF,NDCG_TTEST,N/A,low-high,,0.4206841121034925
music,eva_two,pop_four,MostPop,NDCG_TTEST,N/A,med-high,,1.2374286618072538e-06
music,eva_two,pop_four,UserKNN,NDCG_TTEST,N/A,med-high,,0.0001480884450706
music,eva_two,pop_four,ItemKNN,NDCG_TTEST,N/A,med-high,,0.0010110712555054
music,eva_two,pop_four,PMF,NDCG_TTEST,N/A,med-high,,0.1089509517399714
music,eva_two,pop_four,NMF,NDCG_TTEST,N/A,med-high,,0.0006367954364482
music,eva_two,pop_four,HPF,NDCG_TTEST,N/A,med-high,,0.00114695172452
music,eva_two,pop_four,MostPop,GAP_TTEST,N/A,low-med,,1.3349347101318115e-06
music,eva_two,pop_four,UserKNN,GAP_TTEST,N/A,low-med,,1.044395004367743e-11
music,eva_two,pop_four,ItemKNN,GAP_TTEST,N/A,low-med,,1.5542438629964341e-18
music,eva_two,pop_four,PMF,GAP_TTEST,N/A,low-med,,2.784673203675501e-78
music,eva_two,pop_four,NMF,GAP_TTEST,N/A,low-med,,1.2676618855048467e-09
music,eva_two,pop_four,HPF,GAP_TTEST,N/A,low-med,,4.3081170779565885e-06
music,eva_two,pop_four,MostPop,GAP_TTEST,N/A,low-high,,0.3742493837902015
music,eva_two,pop_four,UserKNN,GAP_TTEST,N/A,low-high,,9.36405617282466e-09
music,eva_two,pop_four,ItemKNN,GAP_TTEST,N/A,low-high,,1.9329876724925755e-08
music,eva_two,pop_four,PMF,GAP_TTEST,N/A,low-high,,3.730958458690276e-26
music,eva_two,pop_four,NMF,GAP_TTEST,N/A,low-high,,0.2148144855313358
music,eva_two,pop_four,HPF,GAP_TTEST,N/A,low-high,,0.0038955529770755
music,eva_two,pop_four,MostPop,GAP_TTEST,N/A,med-high,,0.0005646822309368
music,eva_two,pop_four,UserKNN,GAP_TTEST,N/A,med-high,,0.7809195399601209
music,eva_two,pop_four,ItemKNN,GAP_TTEST,N/A,med-high,,0.0180946710890618
music,eva_two,pop_four,PMF,GAP_TTEST,N/A,med-high,,0.2030257420402135
music,eva_two,pop_four,NMF,GAP_TTEST,N/A,med-high,,6.784114271712393e-05
music,eva_two,pop_four,HPF,GAP_TTEST,N/A,med-high,,0.576466490525159
music,eva_three,pop_one,MostPop,NDCG,low,N/A,0.0368404968767638,
music,eva_three,pop_one,UserKNN,NDCG,low,N/A,0.0118524125209943,
music,eva_three,pop_one,ItemKNN,NDCG,low,N/A,0.0125215340724791,
music,eva_three,pop_one,PMF,NDCG,low,N/A,0.1121613319970473,
music,eva_three,pop_one,NMF,NDCG,low,N/A,0.0194747127531682,
music,eva_three,pop_one,HPF,NDCG,low,N/A,0.0394202417416518,
music,eva_three,pop_one,MostPop,NDCG,med,N/A,0.0452858834082723,
music,eva_three,pop_one,UserKNN,NDCG,med,N/A,0.0087318833641111,
music,eva_three,pop_one,ItemKNN,NDCG,med,N/A,0.0079861025184216,
music,eva_three,pop_one,PMF,NDCG,med,N/A,0.2523299376290964,
music,eva_three,pop_one,NMF,NDCG,med,N/A,0.0131936595792068,
music,eva_three,pop_one,HPF,NDCG,med,N/A,0.0586211404386354,
music,eva_three,pop_one,MostPop,NDCG,high,N/A,0.0304490603390315,
music,eva_three,pop_one,UserKNN,NDCG,high,N/A,0.0019444444444444,
music,eva_three,pop_one,ItemKNN,NDCG,high,N/A,0.0010754533557098,
music,eva_three,pop_one,PMF,NDCG,high,N/A,0.2719789417195629,
music,eva_three,pop_one,NMF,NDCG,high,N/A,0.0039162887466471,
music,eva_three,pop_one,HPF,NDCG,high,N/A,0.0334413138838576,
music,eva_three,pop_one,MostPop,GAP,low,N/A,-13.3089961941974,
music,eva_three,pop_one,UserKNN,GAP,low,N/A,-81.57482445969082,
music,eva_three,pop_one,ItemKNN,GAP,low,N/A,-83.51337683567715,
music,eva_three,pop_one,PMF,GAP,low,N/A,412.6031802945154,
music,eva_three,pop_one,NMF,GAP,low,N/A,-72.91318915151614,
music,eva_three,pop_one,HPF,GAP,low,N/A,-60.4402794128705,
music,eva_three,pop_one,MostPop,GAP,med,N/A,-47.40614512978139,
music,eva_three,pop_one,UserKNN,GAP,med,N/A,-88.69059027454195,
music,eva_three,pop_one,ItemKNN,GAP,med,N/A,-90.02618395548299,
music,eva_three,pop_one,PMF,GAP,med,N/A,197.6668560359571,
music,eva_three,pop_one,NMF,GAP,med,N/A,-83.7751428983376,
music,eva_three,pop_one,HPF,GAP,med,N/A,-70.97895382038749,
music,eva_three,pop_one,MostPop,GAP,high,N/A,-63.4883790059497,
music,eva_three,pop_one,UserKNN,GAP,high,N/A,-92.17413238349276,
music,eva_three,pop_one,ItemKNN,GAP,high,N/A,-93.07673968760328,
music,eva_three,pop_one,PMF,GAP,high,N/A,104.70362378276803,
music,eva_three,pop_one,NMF,GAP,high,N/A,-88.67581832954554,
music,eva_three,pop_one,HPF,GAP,high,N/A,-75.12955540782644,
music,eva_three,pop_one,MostPop,NDCG_TTEST,N/A,low-med,,0.1854619365071601
music,eva_three,pop_one,UserKNN,NDCG_TTEST,N/A,low-med,,0.3651059165489941
music,eva_three,pop_one,ItemKNN,NDCG_TTEST,N/A,low-med,,0.2753184591300363
music,eva_three,pop_one,PMF,NDCG_TTEST,N/A,low-med,,2.4962780887811717e-31
music,eva_three,pop_one,NMF,NDCG_TTEST,N/A,low-med,,0.1787111810735822
music,eva_three,pop_one,HPF,NDCG_TTEST,N/A,low-med,,0.0050848768384065
music,eva_three,pop_one,MostPop,NDCG_TTEST,N/A,low-high,,0.4027998251077082
music,eva_three,pop_one,UserKNN,NDCG_TTEST,N/A,low-high,,0.0026247744038877
music,eva_three,pop_one,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0036135417068565
music,eva_three,pop_one,PMF,NDCG_TTEST,N/A,low-high,,1.5496375657355274e-26
music,eva_three,pop_one,NMF,NDCG_TTEST,N/A,low-high,,0.0006445868143967
music,eva_three,pop_one,HPF,NDCG_TTEST,N/A,low-high,,0.4318109960700681
music,eva_three,pop_one,MostPop,NDCG_TTEST,N/A,med-high,,0.0240991955931406
music,eva_three,pop_one,UserKNN,NDCG_TTEST,N/A,med-high,,0.0004268337018109
music,eva_three,pop_one,ItemKNN,NDCG_TTEST,N/A,med-high,,8.273098897712993e-05
music,eva_three,pop_one,PMF,NDCG_TTEST,N/A,med-high,,0.1247681336762597
music,eva_three,pop_one,NMF,NDCG_TTEST,N/A,med-high,,0.0003364412743469
music,eva_three,pop_one,HPF,NDCG_TTEST,N/A,med-high,,0.0001067474869672
music,eva_three,pop_one,MostPop,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,UserKNN,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,ItemKNN,GAP_TTEST,N/A,low-med,,6.850051214617396e-254
music,eva_three,pop_one,PMF,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,NMF,GAP_TTEST,N/A,low-med,,2.8325117273059184e-123
music,eva_three,pop_one,HPF,GAP_TTEST,N/A,low-med,,1.0862809381607852e-39
music,eva_three,pop_one,MostPop,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,UserKNN,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,ItemKNN,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,PMF,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,NMF,GAP_TTEST,N/A,low-high,,4.6835320410359263e-197
music,eva_three,pop_one,HPF,GAP_TTEST,N/A,low-high,,1.9823034130757328e-63
music,eva_three,pop_one,MostPop,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,UserKNN,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,ItemKNN,GAP_TTEST,N/A,med-high,,0.0
